cod_fonte,taxon,nom_pt,nom_art,obs,classificação,n_amostra,idade,un_idade,local_coleta,pais_coleta,parte,peso (seco/úmido),ag ,disp_sd_ag,al ,disp_se_al,cd ,disp_se_cd,disp_sd_cd,disp_sem_cd,co ,disp_se_co,disp_sd_co,cr,disp_sd_cr,cu,disp_se_cu,disp_sem_cu,disp_sd_cu,fe,disp_se_fe,disp_sem_fe,disp_sd_sd,mn,disp_sem_mn,disp_se_mn,disp_sd_mn,pb,disp_sem_pb,disp_sd_pb,se,disp_sd_se,disp_se_se,zn,disp_se_zn,disp_sem_zn,disp_sd_zn,ca ,disp_se_ca,disp_sem_ca,k ,disp_se_k,disp_sem_k,mg,disp_se_mg,disp_sem_mg,na,disp_se_na,disp_sem_na,p,disp_se_p,disp_sem_p,ba,disp_se_ba,disp_sd_ba,mo,disp_se_mo,disp_sd_mo,s,disp_se_s,ptn,disp_rmse_lip,disp_sem_ptn,disp_se_ptn,disp_sd_ptn,lip,disp_rmse_lip,disp_sem_lip,disp_se_lip,disp_sd_lip,PUFA,disp_sd_PUFA,disp_rmse_PUFA,disp_se_PUFA,dis_sem_PUFA,w3,disp_rmse_w3,disp_sem_w3,disp_sd_w3,disp_se_w3,w6,disp_rmse_w6,disp_sem_w6,disp_sd_w6,disp_se_w6,Ti,disp_sd_ti
13,Odocoileus hemionus,veados-mula,mule deer,ambiente queimado,mamifero,19,,,"Jasper Wildfire, Dakota do Sul",Estados Unidos da América,Fígado,úmido,,,0.000067,0.000009,0.000058,0.000013,,,0.000011,0.000002,,,,0.004789,0.000643,,,0.015747,0.001078,,,0.000403,,0.000015,,,,,0.000050,,0.000004,0.004353,0.000167,,,0.004328,0.000132,,0.24437,4.347,,0.018605,0.000324,,0.09539,4.840,,0.409158,0.008827,,0.000007,0.000001,,0.0010,0.000004,,0.254421,0.004821,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Odocoileus hemionus,veados-mula,mule deer,,mamifero,19,,,"Jasper Wildfire, Dakota do Sul",Estados Unidos da América,Fígado,úmido,,,0.000141,0.000075,0.000051,0.000008,,,0.000010,0.000003,,,,0.003755,0.000469,,,0.015128,0.001044,,,0.000340,,0.000017,,,,,0.000078,,0.000008,0.004056,0.000131,,,0.004638,0.000191,,0.23058,5.301,,0.018184,0.000420,,0.098926,5.784,,0.398526,0.009665,,0.000010,0.000001,,0.00103,0.000005,,0.246737,0.004567,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Odocoileus virginianus,cervo-de-cauda-branca,white-tailed deer,ambiente queimado,mamifero,21,,,"Jasper Wildfire, Dakota do Sul",Estados Unidos da América,Fígado,úmido,,,0.000066,0.000009,0.000080,0.000020,,,0.000009,0.000001,,,,0.006204,0.000825,,,0.014043,0.001209,,,0.000407,,0.000024,,,,,0.000064,,0.000005,0.003909,0.000121,,,0.004867,0.000123,,0.25371,6.126,,0.018329,0.000384,,0.093343,5.055,,0.398286,0.008730,,0.000010,0.000001,,0.00081,0.000005,,0.253286,0.003806,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sus scrofa ,javali,wild boar,,mamifero,12,,,Não informa,Letónia ,M. logissimus lumborum,úmido,,,,,,,,,,,,,,0.000007,,,,0.000344,,,,0.00004,,,,,,,,,,0.000373,,,,,,,,,,0.001996,,,,,,,,,,,,,,,,,22.92,,,,,2.82,,,,,0.48645,,,,,0.081498,,,,,0.391698,,,,,,
14,Alces alces,alces ,elk ,,mamifero,8,,,Não informa,Letónia ,M. logissimus lumborum,úmido,,,,,,,,,,,,,,0.000016,,,,0.000326,,,,0.00002,,,,,,,,,,0.000242,,,,,,,,,,0.002004,,,,,,,,,,,,,,,,,22.72,,,,,1.33,,,,,0.252301,,,,,0.090573,,,,,0.156009,,,,,,
14,Cervus elaphus,veado-vermelho,wild deer,caçado,mamifero,9,,,Não informa,Letónia ,M. logissimus lumborum,úmido,,,,,,,,,,,,,,0.000009,,,,0.000230,,,,0.00003,,,,,,,,,,0.000233,,,,,,,,,,0.002105,,,,,,,,,,,,,,,,,22.36,,,,,1.90,,,,,0.44593,,,,,0.1178,,,,,0.32395,,,,,,
14,Capreolus capreolus,corça-selvavem,roe deer,,mamifero,16,,,Não informa,Letónia ,M. logissimus lumborum,úmido,,,,,,,,,,,,,,0.000018,,,,0.000206,,,,0.00003,,,,,,,,,,0.000310,,,,,,,,,,0.002076,,,,,,,,,,,,,,,,,22.82,,,,,1.59,,,,,0.403542,,,,,0.130857,,,,,0.270936,,,,,,
15,Tayassu tajacu,cateto,sajino,,mamifero,5,,, Iquitos,Peru,Posteriores,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,0.000415,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chelonoidis denticulata,jabuti-tinga,motelo,,reptil,5,,, Iquitos,Peru,Posteriores,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12954,,,,,,,,,,,,0.00040894,,,,,,,,,,,21.4376,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Cuniculus paca,paca,majaz,,mamifero,5,,, Iquitos,Peru,Posteriores,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14927,,,,,,,,,,,,0.00048576,,,,,,,,,,,21.4038,,,,,,,,,,,,,,,,,,,,,,,,,,
