OBS;Código;Amostra;Reserva;Nome científico;Espécie;Classe;Umidade;Cinzas;Lipídios ;Proteínas;Mg 24 (ug/g);Fe 57 (ug/g);Ag 107 (ng/g);Al 27 (ug/g);Ba 138 (ug/g);Co 59 (ng/g);Cu 63 (ug/g);Zn 66 (ug/g);Se 82 (ng/g);Ti 205 (ng/g);Li 7 (ng/g);Rb 85 (ug/g);Sr 88 (ug/g);Cs 133 (ng/g);Mn 55 (ng/g);Ni 60 (ng/g);U 238 (ng/g);Sb 121 (ng/g);Sn 118 (ng/g);Te 130 (ng/g);Hg 202 (ng/g);As 75 (ng/g);Cd 111 (ng/g);Pb 208 (ng/g)
;011C;A1;RDSM;Cebus apella;Macaco prego;Mamíferos;;4.41;23.76;92.00;85.64;19.47;0.01;0.01;0.01;11.79;0.01;0.01;0.01;0.01;0.01;0.36;0.01;1.84;0.01;0.01;0.01;0.79;0.01;0.01;287.28;0.01;0.01;0.01
;011C;A2;RDSM;Cebus apella;Macaco prego;Mamíferos;;4.89;13.75;91.69;;;;;;;;;;;;;;;;;;;;;;;;
;011C;A3;RDSM;Cebus apella;Macaco prego;Mamíferos;;4.64;24.11;87.75;;;;;;;;;;;;;;;;;;;;;;;;
s/amostra;013C;A1;RDSM;Caiman crocodilus;Jacaré-tinga;Répteis;;4.82;;87.67;203.31;7.44;0.01;0.01;444.21;18.61;1.38;44.65;497.51;9.33;2.95;35.24;146.38;70.53;2214.39;158.70;1.58;4.17;4.97;2.64;2673.07;350.33;10.35;18.75
s/amostra;013C;A2;RDSM;Caiman crocodilus;Jacaré-tinga;Répteis;;4.92;;83.00;;;;;;;;;;;;;;;;;;;;;;;;
s/amostra;013C;A3;RDSM;Caiman crocodilus;Jacaré-tinga;Répteis;;4.52;;85.35;;;;;;;;;;;;;;;;;;;;;;;;
;014C;A1;RDSA;Tapirus terrestris;Anta;Mamíferos;;3.38;42.68;77.42;111.09;39.04;08.09;0.01;0.01;14.70;3.14;108.23;264.10;2.46;30.48;45.25;173.76;1361.97;107.38;46.34;1.91;0.01;0.01;0.41;12.98;6.26;95.05;13.03
;014C;A2;RDSA;Tapirus terrestris;Anta;Mamíferos;;3.45;28.05;81.07;;;;;;;;;;;;;;;;;;;;;;;;
;014C;A3;RDSA;Tapirus terrestris;Anta;Mamíferos;;3.43;27.69;79.65;;;;;;;;;;;;;;;;;;;;;;;;
;017C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.50;22.50;88.79;764.73;69.64;1.93;0.01;39.55;8.17;03.07;43.36;2508.74;2.70;14.47;109.06;358.34;1507.15;295.73;35.81;0.47;06.09;0.24;0.23;92.82;4.45;5.41;11.58
;017C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.29;10.84;90.12;;;;;;;;;;;;;;;;;;;;;;;;
;017C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.85;26.04;89.01;;;;;;;;;;;;;;;;;;;;;;;;
;018C;A1;RDSA;Penelope jacquaca;Jacú;Aves;;4.67;20.95;87.70;180.47;34.46;0.01;0.01;0.01;4.43;4.40;77.44;925.10;1.58;3.57;77.20;50.18;587.42;227.52;123.22;0.17;28.80;2.38;0.01;41.17;5.57;10.43;2017.90
;018C;A2;RDSA;Penelope jacquaca;Jacú;Aves;;4.25;17.10;76.71;;;;;;;;;;;;;;;;;;;;;;;;
;018C;A3;RDSA;Penelope jacquaca;Jacú;Aves;;4.41;16.13;82.42;;;;;;;;;;;;;;;;;;;;;;;;
;019C;A1;RDSA;Penelope jacquaca;Jacú;Aves;;5.11;28.81;134.25;48.37;1.67;0.01;0.01;0.01;2.60;2.66;13.18;567.66;01.02;6.82;65.58;11.17;1049.67;36.04;107.48;0.19;0.15;1.49;0.01;80.21;09.04;6.86;50.59
;019C;A2;RDSA;Penelope jacquaca;Jacú;Aves;;4.97;18.72;94.63;;;;;;;;;;;;;;;;;;;;;;;;
;019C;A3;RDSA;Penelope jacquaca;Jacú;Aves;;4.95;19.30;91.03;;;;;;;;;;;;;;;;;;;;;;;;
;023C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;;4.72;17.31;80.97;150.86;1.18;0.01;0.01;0.01;2.98;1.28;26.38;832.85;1.48;1.11;80.34;102.29;868.64;19.13;14.92;0.18;0.21;2.35;0.16;14.03;3.15;2.46;0.01
;023C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;;4.52;17.08;81.29;;;;;;;;;;;;;;;;;;;;;;;;
;023C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;;4.68;16.49;81.83;;;;;;;;;;;;;;;;;;;;;;;;
;024C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.45;18.85;80.13;530.53;40.15;2.41;0.01;0.01;06.09;2.86;51.04;1221.97;2.12;13.86;74.80;267.15;293.31;194.54;23.93;0.47;0.39;10.24;0.06;134.31;4.26;5.24;1.38
;024C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.65;24.20;81.22;;;;;;;;;;;;;;;;;;;;;;;;
;024C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.54;19.26;68.15;;;;;;;;;;;;;;;;;;;;;;;;
s/amostra;028C;A1;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;4.59;;97.09;133.12;2.45;0.01;0.01;0.01;2.68;1.22;25.48;1316.38;12.17;10.60;15.06;35.62;490.10;13.56;8.23;0.21;1.78;03.03;0.61;5814.51;38.07;03.05;0.01
;028C;A2;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;4.67;12.37;94.96;;;;;;;;;;;;;;;;;;;;;;;;
;028C;A3;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;4.47;23.40;94.05;;;;;;;;;;;;;;;;;;;;;;;;
;030C;A1;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;4.98;7.64;97.62;167.74;26.37;0.01;7009.22;1323.53;29.40;2.33;53.12;1564.88;25.79;3.20;6.00;372.51;184.62;214.90;19.77;2.91;626.49;1.10;0.01;2920.87;46.08;11.44;31175.25
;030C;A2;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;4.92;21.92;97.58;;;;;;;;;;;;;;;;;;;;;;;;
;030C;A3;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;5.16;10.36;94.61;;;;;;;;;;;;;;;;;;;;;;;;
;031C;A1;RDSA;Puma concolor;Onça vermelha;Mamíferos;;9.88;33.95;87.44;279.76;16.23;0.01;0.01;11.63;4.64;2.72;64.60;527.67;1.72;10.57;78.30;307.79;1735.52;176.67;5.90;0.15;0.45;0.01;0.01;1649.49;49.48;02.01;3.54
;031C;A2;RDSA;Puma concolor;Onça vermelha;Mamíferos;;09.06;23.75;85.61;;;;;;;;;;;;;;;;;;;;;;;;
;031C;A3;RDSA;Puma concolor;Onça vermelha;Mamíferos;;9.54;44.04;75.50;;;;;;;;;;;;;;;;;;;;;;;;
;032C;A1;RDSA;Busarellus nigricollis;Gavião panema;Aves;;5.12;18.05;79.49;67.55;30.82;0.01;0.01;10.44;10.58;5.15;20.32;916.13;31.42;3.85;29.74;5.60;213.98;355.57;7.50;0.22;3.88;0.92;22.26;35916.97;4.66;35.35;365.44
;032C;A2;RDSA;Busarellus nigricollis;Gavião panema;Aves;;05.08;23.26;77.66;;;;;;;;;;;;;;;;;;;;;;;;
;032C;A3;RDSA;Busarellus nigricollis;Gavião panema;Aves;;5.24;25.27;77.87;;;;;;;;;;;;;;;;;;;;;;;;
;034C;A1;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;3.68;41.78;79.92;398.06;48.03;0.01;0.01;6.57;8.77;2.59;62.14;1442.79;4.92;07.08;22.43;283.77;257.94;159.58;49.99;0.35;13.48;10.04;0.49;4650.95;9.50;3.31;706.65
;034C;A2;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;2.72;35.77;70.85;;;;;;;;;;;;;;;;;;;;;;;;
;034C;A3;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;;3.83;66.05;68.12;;;;;;;;;;;;;;;;;;;;;;;;
;045C;A1;RDSA;Mesoclemmys raniceps;Perema;Répteis;;3.75;9.42;81.72;111.33;25.06;0.84;0.01;0.01;5.67;1.00;41.42;140.58;9.48;4.33;59.54;133.02;482.06;130.53;63.46;0.07;0.60;8.88;0.28;1020.47;7.89;187.56;17.44
;045C;A2;RDSA;Mesoclemmys raniceps;Perema;Répteis;;04.03;16.01;75.15;;;;;;;;;;;;;;;;;;;;;;;;
;045C;A3;RDSA;Mesoclemmys raniceps;Perema;Répteis;;3.21;21.15;83.03;;;;;;;;;;;;;;;;;;;;;;;;
;046C;A1;RDSA;﻿Cairina moschata;Pato do mato;Aves;;04.08;28.45;78.82;368.72;75.52;0.01;0.01;53.20;18.99;6.35;72.23;1289.21;8.80;2.75;54.11;63.53;415.30;331.23;152.08;0.21;0.52;10.97;0.99;607.93;11.81;11.64;63.98
;046C;A2;RDSA;﻿Cairina moschata;Pato do mato;Aves;;4.16;21.87;90.35;;;;;;;;;;;;;;;;;;;;;;;;
;046C;A3;RDSA;﻿Cairina moschata;Pato do mato;Aves;;3.83;20.19;92.62;;;;;;;;;;;;;;;;;;;;;;;;
;048C;A1;RDSA;﻿Cairina moschata;Pato do mato;Aves;;4.65;21.35;92.66;383.61;28.74;1.16;0.01;58.41;16.90;2.97;54.95;818.65;6.28;4.85;52.73;107.97;228.37;161.48;0.97;0.06;1.27;13.68;0.28;823.84;13.31;1.99;14.73
;048C;A2;RDSA;﻿Cairina moschata;Pato do mato;Aves;;4.74;25.74;94.58;;;;;;;;;;;;;;;;;;;;;;;;
;048C;A3;RDSA;﻿Cairina moschata;Pato do mato;Aves;;4.30;23.46;94.53;;;;;;;;;;;;;;;;;;;;;;;;
;051C;A1;RDSA;Penelope jacquaca;Jacú;Aves;;05.05;23.62;82.98;9.73;4.68;0.01;0.01;0.01;2.12;03.01;12.62;627.88;06.07;3.86;50.59;0.83;381.91;;0.01;0.01;1.84;5.71;0.01;19.66;6.00;3.15;43.66
;051C;A2;RDSA;Penelope jacquaca;Jacú;Aves;;4.81;15.67;81.94;;;;;;;;;;;;;;;37.99;;;;;;;;;
;051C;A3;RDSA;Penelope jacquaca;Jacú;Aves;;4.71;21.40;84.64;;;;;;;;;;;;;;;;;;;;;;;;
;052C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;;5.10;4.66;96.48;150.23;6.85;0.01;0.01;0.01;5.66;1.60;19.84;963.20;03.05;23.24;97.71;48.21;1827.49;54.33;0.01;0.01;0.01;3.43;0.01;0.01;4.91;21.48;0.01
;052C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;;4.86;18.99;94.16;;;;;;;;;;;;;;;;;;;;;;;;
;052C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;;4.99;13.27;104.58;;;;;;;;;;;;;;;;;;;;;;;;
;057C;A1;RDSA;Mitu tuberosum;Mutum-cavalo;Aves;;4.51;14.12;66.77;432.06;51.19;1.10;0.01;0.01;7.29;2.78;100.46;963.20;15.41;2.88;59.46;100.86;353.20;319.57;170.00;0.40;0.97;13.87;0.11;192.29;6.38;10.11;41.43
;057C;A2;RDSA;Mitu tuberosum;Mutum-cavalo;Aves;;4.60;8.69;94.63;;;;;;;;;;;;;;;;;;;;;;;;
;057C;A3;RDSA;Mitu tuberosum;Mutum-cavalo;Aves;;4.74;11.24;97.23;;;;;;;;;;;;;;;;;;;;;;;;
;059C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.65;09.07;94.82;1068.92;56.80;6.70;321.44;24.06;7.81;2.49;31.44;1054.51;02.03;51.00;93.58;181.38;1382.93;270.92;60.15;0.37;1.30;6.69;0.23;195.95;5.63;4.00;18.23
;059C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.48;8.70;91.41;;;;;;;;;;;;;;;;;;;;;;;;
;059C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.62;10.79;94.23;;;;;;;;;;;;;;;;;;;;;;;;
;062C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.43;14.20;88.20;683.50;45.76;0.28;1565.17;0.01;4.58;2.38;27.94;4340.77;2.88;22.02;78.80;372.63;1103.35;234.95;29.89;0.57;0.40;5.32;0.12;365.80;5.36;07.04;0.01
;062C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.32;13.94;87.83;;;;;;;;;;;;;;;;;;;;;;;;
;062C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.48;19.10;78.50;;;;;;;;;;;;;;;;;;;;;;;;
;064C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.49;12.74;89.17;912.96;15.58;;;211.81;27.36;06.04;56.72;5.74;5.34;18.67;178.63;1.37;1.20;0.32;83.32;0.34;1.23;08.08;;0.03;15.37;36.24;170.19
;064C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.38;12.36;87.05;;;;;;;;;;;;;;;;;;;;;;;;
;064C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.41;11.18;88.78;;;;;;;;;;;;;;;;;;;;;;;;
;065C 2;A1;RDSA;Ardea cocoi;Maguari;Aves;;4.49;17.19;79.50;;;;;;;;;;;;;;;;;;;;;;;;
;065C 2;A2;RDSA;Ardea cocoi;Maguari;Aves;;4.45;11.81;81.98;;;;;;;;;;;;;;;;;;;;;;;;
;065C 2;A3;RDSA;Ardea cocoi;Maguari;Aves;;4.44;16.50;79.36;;;;;;;;;;;;;;;;;;;;;;;;
;066C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.70;12.90;90.35;630.30;0.01;;;385.85;26.10;4.57;56.32;03.07;3.15;22.01;254.07;1.83;4.51;0.39;50.80;0.37;1.43;12.24;;0.06;9.90;26.37;146.73
;066C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;05.04;17.89;89.27;;;;;;;;;;;;;;;;;;;;;;;;
;066C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.99;14.20;88.65;;;;;;;;;;;;;;;;;;;;;;;;
;072C;A1;RDSA;Boa constrictor;Jibóia;Répteis;;4.35;62.99;79.88;481.27;8.83;0.01;24.65;0.01;3.37;1.22;99.70;877.33;1.60;2.45;97.35;161.59;1672.42;271.43;6.44;0.13;1.13;15.81;0.48;3246.83;284.44;1.61;0.01
;072C;A2;RDSA;Boa constrictor;Jibóia;Répteis;;4.35;65.29;78.10;;;;;;;;;;;;;;;;;;;;;;;;
;091C;A1;;Phalacrocorax brasilianus;Biguá ou mergulhão;Aves;;4.38;30.10;78.20;117.43;227.87;0.01;0.01;0.01;27.68;13.49;22.73;943.45;5.30;3.57;33.34;0.01;44.47;519.28;0.01;0.01;0.12;33.00;0.63;8020.05;16.48;9.17;0.01
;091C;A2;;Phalacrocorax brasilianus;Biguá ou mergulhão;Aves;;3.96;24.68;78.20;;;;;;;;;;;;;;;;;;;;;;;;
;091C;A3;;Phalacrocorax brasilianus;Biguá ou mergulhão;Aves;;4.38;30.09;77.19;;;;;;;;;;;;;;;;;;;;;;;;
;101C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;;2.65;52.44;61.88;378.72;22.68;0.01;0.01;0.01;03.09;1.77;40.54;933.01;2.45;5.85;87.67;179.02;989.21;143.82;0.01;0.03;9.85;31.45;0.15;05.08;6.89;3.11;74.44
;101C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;;2.64;70.53;56.36;;;;;;;;;;;;;;;;;;;;;;;;
;101C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;;2.50;62.50;23.72;;;;;;;;;;;;;;;;;;;;;;;;
;102C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;;4.56;22.90;116.47;303.24;9.28;0.01;0.01;0.01;4.56;1.63;19.16;582.82;1.45;0.19;118.66;105.81;1110.21;37.01;0.01;0.01;0.96;7.75;0.24;0.01;6.14;2.75;20.98
;102C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;;4.58;25.17;111.71;;;;;;;;;;;;;;;;;;;;;;;;
;102C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;;4.65;23.56;104.38;;;;;;;;;;;;;;;;;;;;;;;;
;103C;A1;RDSA;Mazama americana;Veado capoeira;Mamíferos;;4.60;19.16;89.90;161.17;11.29;0.01;0.01;0.01;03.01;2.26;22.96;378.07;1.31;46.34;55.52;6.42;401.74;89.62;5.20;0.01;0.99;12.45;0.37;2.21;3.46;0.88;0.01
;103C;A2;RDSA;Mazama americana;Veado capoeira;Mamíferos;;04.02;10.29;89.46;;;;;;;;;;;;;;;;;;;;;;;;
;103C;A3;RDSA;Mazama americana;Veado capoeira;Mamíferos;;4.77;16.28;89.18;;;;;;;;;;;;;;;;;;;;;;;;
;104C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.50;15.91;85.35;210.77;12.06;0.01;0.01;0.01;4.82;2.96;17.59;1361.21;7.57;5.53;89.07;6.14;3353.75;122.78;0.01;0.01;0.68;40.59;0.37;126.93;7.74;13.68;0.01
;104C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.29;11.68;87.85;;;;;;;;;;;;;;;;;;;;;;;;
;104C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;;4.85;12.71;87.33;;;;;;;;;;;;;;;;;;;;;;;;
;105C;A1;RDSA;Dasyprocta fuliginosa;Cutia ;Mamíferos;;4.60;16.79;81.58;85.18;4.24;0.01;0.01;0.01;02.06;1.62;16.46;743.87;1.80;8.12;78.55;20.39;2062.13;56.66;0.01;0.01;0.26;28.26;0.14;7.66;6.16;3.58;0.01
;105C;A2;RDSA;Dasyprocta fuliginosa;Cutia ;Mamíferos;;7.67;10.85;79.93;;;;;;;;;;;;;;;;;;;;;;;;
;105C;A3;RDSA;Dasyprocta fuliginosa;Cutia ;Mamíferos;;4.66;16.93;84.90;;;;;;;;;;;;;;;;;;;;;;;;
;106C;A1;RDSA;Mazama americana;Veado capoeira;Mamíferos;;4.36;13.81;91.70;312.93;38.57;0.01;0.01;0.01;2.95;2.24;73.03;569.71;01.08;344.74;49.28;26.17;964.95;126.24;0.01;0.01;0.25;17.10;0.47;29.44;6.30;04.03;0.01
;106C;A2;RDSA;Mazama americana;Veado capoeira;Mamíferos;;4.37;18.92;88.73;;;;;;;;;;;;;;;;;;;;;;;;
;106C;A3;RDSA;Mazama americana;Veado capoeira;Mamíferos;;4.39;11.17;90.60;;;;;;;;;;;;;;;;;;;;;;;;
;FLA02C;A1;FLONA;Mazama americana;Veado capoeira;Mamíferos;;2.15;21.66;65.50;42.03;14.61;;;107.70;111.63;2.39;70.22;0.51;01.06;3.91;19.35;0.76;0.38;0.23;157.49;0.56;1.48;7.78;;0.01;2.92;95.19;62.69
;FLA02C;A2;FLONA;Mazama americana;Veado capoeira;Mamíferos;;2.25;12.65;94.29;;;;;;;;;;;;;;;;;;;;;;;;
;FLA02C;A3;FLONA;Mazama americana;Veado capoeira;Mamíferos;;02.06;14.60;89.18;;;;;;;;;;;;;;;;;;;;;;;;
;FLA04C;A1;FLONA;Cuniculus paca;Paca;Mamíferos;;4.28;39.29;88.60;735.46;39.67;;;574.32;98.54;3.85;76.97;2.11;2.84;21.77;140.77;3.12;3.88;0.67;89.02;1.45;2.25;38.30;;0.06;4.84;77.73;205.23
;FLA04C;A2;FLONA;Cuniculus paca;Paca;Mamíferos;;4.37;14.48;88.85;;;;;;;;;;;;;;;;;;;;;;;;
;FLA04C;A3;FLONA;Cuniculus paca;Paca;Mamíferos;;4.53;32.76;88.01;;;;;;;;;;;;;;;;;;;;;;;;
;FLA05C;A1;FLONA;Cuniculus paca;Paca;Mamíferos;;4.34;13.86;87.80;784.30;14.02;;;915.86;58.14;3.37;41.16;1.44;3.75;29.88;198.86;2.88;4.14;0.42;83.92;0.58;1.36;38.01;;0.03;7.18;60.86;147.00
;FLA05C;A2;FLONA;Cuniculus paca;Paca;Mamíferos;;4.18;12.96;87.11;;;;;;;;;;;;;;;;;;;;;;;;
;FLA05C;A3;FLONA;Cuniculus paca;Paca;Mamíferos;;4.38;18.19;88.20;;;;;;;;;;;;;;;;;;;;;;;;
;FLA08C;A1;FLONA;Cuniculus paca;Paca;Mamíferos;;05.07;21.43;79.99;992.25;0.01;;;588.48;72.43;6.50;75.20;3.70;3.62;250.46;219.46;1.65;5.49;0.63;35.65;0.62;0.44;80.29;;0.16;8.48;42.18;152.04
;FLA08C;A2;FLONA;Cuniculus paca;Paca;Mamíferos;;05.04;19.13;80.66;;;;;;;;;;;;;;;;;;;;;;;;
;FLA08C;A3;FLONA;Cuniculus paca;Paca;Mamíferos;;05.06;20.46;80.59;;;;;;;;;;;;;;;;;;;;;;;;
;FLA11C;A1;FLONA;Tayassu tajacu;Catitu;Mamíferos;;3.88;16.23;67.02;905.48;29.47;;;224.42;54.52;5.97;55.14;1.43;03.08;3.44;221.26;0.44;0.65;0.72;87.46;0.66;0.71;19.10;;0.13;5.63;31.29;255.13
;FLA11C;A2;FLONA;Tayassu tajacu;Catitu;Mamíferos;;04.04;21.78;90.01;;;;;;;;;;;;;;;;;;;;;;;;
;FLA11C;A3;FLONA;Tayassu tajacu;Catitu;Mamíferos;;4.30;17.70;86.67;;;;;;;;;;;;;;;;;;;;;;;;
;LOR005C;A1;RDSM;﻿Cairina moschata;Pato do mato;Aves;;4.69;24.30;82.79;578.32;2151.05;;;293.55;345.77;167.66;201.23;5.91;11.39;20.68;163.57;0.20;0.06;24.88;65.30;3.96;07.09;0.01;;0.06;55.34;16440.71;932.70
;LOR005C;A2;RDSM;﻿Cairina moschata;Pato do mato;Aves;;4.61;26.88;82.68;;;;;;;;;;;;;;;;;;;;;;;;
;LOR005C;A3;RDSM;﻿Cairina moschata;Pato do mato;Aves;;4.71;38.13;80.81;;;;;;;;;;;;;;;;;;;;;;;;
;LOR008C;A1;RDSM;Alouatta seniculus;Macaco Guariba;Mamíferos;;4.33;16.77;84.90;199.42;29.66;;;147.17;39.71;11.63;160.78;0.37;3.96;21.40;114.14;0.32;0.20;1.49;28.86;0.24;09.07;3.20;;0.02;15.58;300.46;400.86
;LOR008C;A2;RDSM;Alouatta seniculus;Macaco Guariba;Mamíferos;;04.05;19.40;89.35;;;;;;;;;;;;;;;;;;;;;;;;
;LOR008C;A3;RDSM;Alouatta seniculus;Macaco Guariba;Mamíferos;;4.35;19.91;87.51;;;;;;;;;;;;;;;;;;;;;;;;
só micros;LOR001C;;RDSM; Podocnemis sextuberculata;Iaça;Répteis;74.54;;;;444.03;34.04;;;4898.93;37.28;8.57;86.45;02.05;4.53;40.40;88.65;2.50;0.09;2.39;359.02;0.93;7.15;131.74;;0.14;284.66;20.36;153.91
só micros;LOR007C;;RDSM;Alouatta seniculus;Macaco Guariba;Mamíferos;77.17;;;;428.72;31.32;;;74.22;57.27;7.79;228.08;3.27;5.99;144.13;112.10;0.28;0.19;0.44;153.77;0.25;03.07;12.22;;0.02;26.73;1841.17;167.35
só micros;LOR002C;;RDSM;Podocnemis unifilis;Tracajá;Répteis;81.46;;;;420.65;141.16;;;1041.39;25.48;17.38;245.98;0.40;20.31;19.09;68.85;2.32;0.06;2.15;58.54;0.45;2.47;28.54;;0.06;23.53;20.21;101.33
só micros;LOR003C;;RDSM;Podocnemis expansa;Tartaruga;Répteis;74.76;;;;934.00;36.80;;;644.29;34.93;4.77;88.92;4.63;43.33;10.93;259.22;1.26;0.28;1.43;72.27;0.31;3.84;39.19;;0.11;31.71;20.13;104.42
só micros;LOR004C;;RDSM;Podocnemis unifilis;Tracajá;Répteis;76.9;;;;596.56;46.72;;;398.33;29.47;4.36;76.40;0.51;13.59;26.42;139.76;01.02;0.18;1.32;134.92;0.38;4.25;59.38;;0.09;43.99;27.24;102.26
só micros;LOR006C;;RDSM;﻿Cairina moschata;Pato do mato;Aves;;;;;75.68;23.74;;;73.78;71.87;49.84;61.53;2.49;3.24;19.13;136.33;0.12;0.19;0.67;30.12;0.28;0.81;43.71;;0.03;31.75;266.81;70.49
No mamirauá;AND003C;;RDSA;Mazama americana;Veado capoeira;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AND004C;;RDSA;Myoprocta pratti;Cutia vermelha;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;042C;;RDSA;Cuniculus paca;Paca;Mamíferos;73.43;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;067 C3;;RDSA;Cuniculus paca;Paca;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;068 C3;;RDSA;Cuniculus paca;Paca;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;069 C3;;RDSA;Mazama americana;Veado capoeira;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;107C;;FLONA;Mazama americana;Veado capoeira;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;108C;;RDSA;Dasyprocta fuliginosa;Cutia preta;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;109C;;RDSA;﻿Cairina moschata;Pato do mato;Aves;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;110C;;RDSA;Priodontes maximus;Tatu canastra;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;111C;;RDSA;Tapirus terrestris;Anta;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;112C;;RDSA;Tayassu tajacu;Catitu;Mamíferos;77.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AND001C;;RDSA;Cuniculus paca;Paca;Mamíferos;71.91;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AND002C;;RDSA;Cuniculus paca;Paca;Mamíferos;72.25;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AND005C;;RDSA;Myoprocta pratti;Cutiara / Cutia Vermelha;Mamíferos;77.34;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AND006C;;RDSA;Mazama amaricana;Veado capoeira;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;AQU01C;;RDSA;Chelonoidis denticulata;Jabuti;Répteis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR009C;;FLONA;Cuniculus paca;Paca;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR010C;;FLONA;Mazama nemorivaga;Veado roxo;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR011C;;FLONA;Dasyprocta fuliginosa;Cutia;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR012C;;FLONA;Cuniculus paca;Paca;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR013C;;FLONA;Euphractus sexcinctus;Tatupeba;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR014C;;FLONA;Mazama nemorivaga;Veado roxo ;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR015C;;FLONA;Euphractus sexcinctus;Tatupeba;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No mamirauá;LOR016C;;FLONA;Cuniculus paca;Paca;Mamíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;
